""	"67.AV770T"	"35.AV590"	"25.AV608"	"18.AV863"	"06.AV996"	"91.AV609"	"19.AV864"	"79.AV567"	"82.AV579"	"55.AV717T"	"40.AV521"	"10.AV587"	"12.AV596"	"01.AV967"	"34.AV589"	"03.AV971"	"49.AV555T"	"84.AV803"	"52.AV612TA"	"68.AV791T"	"94.AV802"	"24.AV580"	"69.AV782.2T"	"93.AV611"	"44.AV543"	"36.AV591"	"75.AV794TA"	"80.AV568"	"66.AV604T"	"04.AV972"	"02.AV968"	"45.AV571"	"92.AV610"	"08.AV583"	"76.AV833T"	"56.AV718T"	"17.AV817"	"11.AV588"	"50.AV555TA"	"53.AV650T"	"71.AV604TA"	"81.AV570"	"70.AV794T"	"86.AV866"	"54.AV650TA"	"42.AV541"	"73.AV791TA"	"74.AV782.2TA"	"43.AV542"	"83.AV814"	"13.AV597"	"05.AV974"	"09.AV584"	"41.AV527"	"51.AV612T"	"32.AV572"	"85.AV865"	"33.AV586"	"37.AV598"	"16.AV816"	"48.AV551T"	"72.AV770TA"
"p__Actinobacteria"	0.0156646511482189	0.00496376451901122	0.0884453420986628	0.0301689460981497	0.0325658644608721	0.120761727821644	0.374968330377501	0.0506181251825173	0.07920461887988	0.0968851426633726	0.118702189395937	0.133006650332517	0.0616124867973242	0.2336227308603	0.0101657009250788	0.262542708146017	0.482931992590633	0.0424448217317488	0.118779694923731	0.0292865789370924	0.225684333139196	0.136198814893429	0.0193911188675586	0.0813049443569287	0.101409593347531	0.00910891990982169	0.0554654834030207	0.0113642820614808	0.0500946231771123	0.0734599643194459	0.0557936648829601	0.032991731447306	0.0660908407210739	0.100357943331215	0.204364392102529	1.5856413689231	0.0736524941412789	0.0550518134715026	0.134780284897637	0.0288536233492398	0.071118287010341	0.0133396573190253	0.0467945718296678	0.0212359311955829	0.0426445727166116	0.0914680624015448	0.105588205996613	0.00603779660675831	0.0734468158645122	0.0147768692739632	0.157193934163482	0.0591825411503606	0.0439397012100318	0.059953601126085	0.106960242095377	0.0198452073824172	0.0213111697168278	0.191089962156694	0.0522134785365308	0.0627653682850286	0.769410118908837	0.119312616864037
"p__Bacteroidetes"	32.5072840627839	14.3303881663854	10.7599699021821	9.29873960847412	5.66971700263784	13.4682502819985	17.8768685077274	24.1117492455952	6.11751464243283	8.86822005845403	25.1271809172099	18.4249212460623	14.0593827015609	16.6977111286504	18.3118159330419	4.78690882934724	11.6532151362794	16.8277393234948	33.7125948153705	28.394314498809	24.7961560861969	6.73741929778013	26.3469902213358	12.8944560191067	20.5633302910455	11.135654589757	13.621042751088	15.4535295566036	32.1579650450852	20.0152167068947	10.8899089548832	16.0979029630699	17.6394174890039	12.3540628240725	20.7239348804988	16.793573759518	12.6414462671577	14.9287564766839	13.9125787186578	28.1500388414161	28.3550532426095	25.355724195174	15.2226341744358	12.8434911870886	16.5993999299411	25.7152294323898	23.6139057675067	23.28174371566	11.9156657737838	9.50645256624963	29.604857600789	9.05122988718328	16.3219090110187	22.3679065766494	42.1840759678597	23.6521796652775	19.4784091211807	23.0844168009292	13.3368142319024	8.98652390622115	13.3208984223207	26.3876769655418
"p__Candidatus Saccharibacteria"	0.272564929979009	0.0918296436017075	0.125407574617507	0.402252614641995	0.182368840980884	0.116780571959392	0.932353686344059	0.138226418767643	0.104216603789316	0.332638989810912	0.307118363040283	0.56002800140007	0.363807064898486	0.476716653512234	0.10843414320084	0.7516633698975	1.40248743053718	0.153454355491707	0.200050012503126	0.279198719200281	0.273005241700641	0.25470947200849	0.229923266572481	0.177854565780782	0.461413649731265	0.059207979413841	0.0981312398668828	0.257590393393564	1.91751085383502	0.69524609088047	0.284040475767797	0.129904942573767	0.16864559356412	0.227478004884087	1.17076550051957	1.20492009036901	0.33478406427854	1.06541450777202	1.16887040178468	0.679169903451337	1.06293007342483	0.262346593940831	0.165580792628055	0.88341473773625	0.300035029470446	0.309975100360791	0.364578145233589	0.352204802060901	0.142573230795818	0.0689587232784947	0.46849956848724	0.388385426299242	0.415737172987224	0.609962724500169	0.936554314932693	0.102533571475822	1.29198966408269	0.1086589980891	0.227501585052027	0.387668451172236	4.76801119141991	0.525331671267029
"p__Cyanobacteria/Chloroplast"	0	0	0	0	0	0.00796231172450401	0	0	0.0104216603789316	0	0	0	0	0.00315706393054459	0	0	0	0	0	0	0	0.00176881577783674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"p__Deferribacteres"	0.773833766722015	4.77265958502929	4.29817961004845	4.40466613032985	4.2009965154525	0.200384845066684	0.942487965543451	1.06492747980142	2.59707776642975	5.48854333188006	0.45219881674643	4.95274763738187	1.54031216993311	3.75374901341752	2.07041442174105	5.40909908289876	0.241465996295316	6.08593443907536	0.77727765274652	0.333866999882854	0.378567268491555	1.71575130450164	0.534640848776974	2.86599928858174	3.7597606733597	2.25673490765832	2.39781551326905	1.84290774097013	0.384058777691194	3.72809318921188	9.13494458674647	2.18776419159948	0.656350418195492	0.0936674137758004	0.820921371666089	7.09564053217304	0.917308336123201	1.34391191709845	1.19443217995492	1.21851070913328	0.232576019682466	0.942669117211122	8.32943378568086	1.34211085156084	3.93700787401575	1.70486305198435	0.53790218149218	0.434721355686598	3.25326190270457	9.090237415033	0.471581802490445	3.57314592195302	0.878794024200635	1.28769908505591	0.14087446519879	2.28881391810544	0.285036894962572	1.47251676720746	1.93189870585164	5.67841978955141	0.722779202611331	0.612590152257145
"p__Firmicutes"	62.7682571509133	78.6806313908468	83.7326574525102	84.6976401179941	88.8266519034747	85.0547408931059	74.2234608563466	71.6402219410104	89.6367009191905	82.3765925495325	70.4902588838226	73.1151557577879	81.7861753315339	76.1704814522494	78.2487885873064	86.4233051609423	77.4278909764488	74.4449523312002	61.3528382095524	67.2771291342887	66.7516016307513	89.426019280092	67.8245934790437	82.7379440012196	71.0298144204442	85.5486985630679	82.1166481781722	79.1768471693467	61.5996883001225	72.5076083534474	78.0046156577312	78.8997257562323	80.2639075639828	85.4046097748637	75.0779355732594	61.4676596100745	83.1469702042183	80.1586787564767	79.3112262682128	62.1218510709133	68.44270172606	69.1394438845082	74.1801950973687	81.8262900828201	68.4993679465115	68.4358961329336	71.9733041139556	71.2238613721899	82.225870560788	77.8494729583292	67.0293428677105	85.3079341594229	80.4164131683904	72.5777441805907	52.2018157153292	70.8903883045578	74.1309038599856	71.8610663569261	83.0343490098087	83.7253092117408	71.9553897567421	69.5378862078176
"p__Proteobacteria"	1.91422037031235	1.12925642807505	0.698322178659591	0.697237865379458	0.674113394340053	0.867891977970938	1.17557638712947	1.91959505499854	0.92752777372491	2.26872709070064	1.88981422165279	1.49457472873644	1.47283182725032	1.52801894238358	0.877638846531803	1.72990469340047	8.57038899179676	1.60637325323234	3.46961740435109	1.2046546136124	6.53392545136867	0.875563810029185	2.83664367434001	0.795263986991209	2.25129297231518	0.567030264386401	1.19037460534175	1.50197927912571	3.57619948792163	1.47706999685172	0.928203697598336	1.56504526053158	0.975409649262746	1.57561971030007	1.80117769310703	10.6141745460631	0.763307666555071	1.31152849740933	3.70878163270049	4.57440905559871	1.65686387575443	1.12201339894468	1.20586012022605	0.688044170736887	3.9476690171949	1.24752273997662	1.36467775674868	2.28228711735464	1.1751490538322	1.01960397990346	1.47022561952903	1.03199556130941	0.807814506861354	1.92112191434455	4.13231764583115	1.80591387179996	1.64362396441035	2.45419461201244	0.648938947525454	0.505815026767583	7.28996658117666	1.61873386163298
"p__Tenericutes"	0.479338325135499	0.50878586319865	0.00264015946563172	0.375435773665862	0.367994268407855	0.0716608055205361	2.33088421586015	0.120704760050618	0.208433207578631	0.00807376188861438	0.619889211289897	0.661533076653833	0.378476704612135	0.883977900552486	0.311748161702416	0.618593778097465	0.0496163006086266	0.551782682512733	0.0729349003917646	1.00355343824437	0.447728596389051	0.298929866454409	0.512479570071193	0.243914833070786	0.534935604908224	0.252772527497552	0.366925505589214	1.21219008655795	0.0946231771123233	1.36163291006402	0.654307524536532	0.472194156339567	0.0888807857973062	0.0167263238885358	0.0727398683754763	0.0962262572169693	1.08135252761969	0.272020725388601	0.118513698789301	0.608145599822439	0.0403644331680314	2.38335210766586	0.601130268888809	1.85602038649395	1.01890068383618	0.581838508054271	1.02201414483514	0.509187513836617	0.740948760044932	1.5909762584967	0.181851806189126	0.573330867394119	0.844994254039073	0.205927586476553	0.122612960450798	0.601971290599987	3.11409467487147	0.37093933830417	0.119345093797785	0.454125899944619	0.532369627729852	0.3757457038554
"p__unknown_ Bacteria"	1.26883674300573	0.481485158344088	0.294377780417937	0.0905068382944489	0.045592210245221	0.0915665848317962	2.1434000506714	0.953956974593595	0.318902807595306	0.560319075069838	0.994837396842145	0.658032901645082	0.331533857528459	0.249408050513023	0.0609942055504727	0.0143859018162201	0.172003175443239	0.287318793261068	0.295907310160874	1.47799601702526	0.593331391962726	0.553639338462899	1.69533782099227	0.203262360892322	1.29804279484839	0.170792248309157	0.153596723269904	0.54359149194083	0.219859735055104	0.139049218176094	0.0481854378534655	0.614470998206075	0.141297659472641	0.00334526477770716	0.128160720471077	1.14216383566229	1.02778707733512	0.86139896373057	0.45081681500244	2.61902119631561	0.138392342290393	0.78111104523626	0.248371188942083	0.479932045020174	5.65497494631353	1.91320697189898	1.0180296842315	1.90995632660454	0.473083902186123	0.859521229435524	0.616446800641105	0	0.270398161292503	0.96968433125668	0.174788688302202	0.638354170801085	0.0106555848584139	0.438382854359474	0.648938947525454	0.195680265829795	0.641175099090697	0.822722820763957
"p__Verrucomicrobia"	0	0	0	0.00335210512201663	0	0	0	0	0	0	0	0	0.00586785588545945	0.00315706393054459	0	0.00359647545405503	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262357015426593	0	0	0	0.224132740106379	0	0	0.0133913625711416	0.00323834196891192	0	0	0	0	0	0.0594606073476322	0	0	0	0	0	0	0	0.0147956352875902	0	0	0	0	0.0239750659314313	0.0187343100153621	0	0.00369208048735462	0	0
