""	"67.AV770T"	"35.AV590"	"25.AV608"	"18.AV863"	"06.AV996"	"91.AV609"	"19.AV864"	"79.AV567"	"82.AV579"	"55.AV717T"	"40.AV521"	"10.AV587"	"12.AV596"	"01.AV967"	"34.AV589"	"03.AV971"	"49.AV555T"	"84.AV803"	"52.AV612TA"	"68.AV791T"	"94.AV802"	"24.AV580"	"69.AV782.2T"	"93.AV611"	"44.AV543"	"36.AV591"	"75.AV794TA"	"80.AV568"	"66.AV604T"	"04.AV972"	"02.AV968"	"45.AV571"	"92.AV610"	"08.AV583"	"76.AV833T"	"56.AV718T"	"17.AV817"	"11.AV588"	"50.AV555TA"	"53.AV650T"	"71.AV604TA"	"81.AV570"	"70.AV794T"	"86.AV866"	"54.AV650TA"	"42.AV541"	"73.AV791TA"	"74.AV782.2TA"	"43.AV542"	"83.AV814"	"13.AV597"	"05.AV974"	"09.AV584"	"41.AV527"	"51.AV612T"	"32.AV572"	"85.AV865"	"33.AV586"	"37.AV598"	"16.AV816"	"48.AV551T"	"72.AV770TA"
"f__Acidaminococcaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015230204541647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Actinomycetaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0220994475138122	0	0	0	0	0	0	0	0	0	0	0.00253523983368827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Aeromonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Anaeroplasmataceae"	0.479338325135499	0.50878586319865	0.00264015946563172	0.375435773665862	0.367994268407855	0.0716608055205361	2.33088421586015	0.120704760050618	0.208433207578631	0.00807376188861438	0.619889211289897	0.661533076653833	0.378476704612135	0.883977900552486	0.311748161702416	0.618593778097465	0.0496163006086266	0.551782682512733	0.0729349003917646	1.00355343824437	0.447728596389051	0.298929866454409	0.512479570071193	0.243914833070786	0.534935604908224	0.252772527497552	0.366925505589214	1.21219008655795	0.0946231771123233	1.36163291006402	0.654307524536532	0.472194156339567	0.0888807857973062	0.0167263238885358	0.0727398683754763	0.0962262572169693	1.08135252761969	0.272020725388601	0.118513698789301	0.608145599822439	0.0403644331680314	2.38335210766586	0.601130268888809	1.85602038649395	1.01890068383618	0.581838508054271	1.02201414483514	0.509187513836617	0.740948760044932	1.5909762584967	0.181851806189126	0.573330867394119	0.844994254039073	0.205927586476553	0.122612960450798	0.601971290599987	3.11409467487147	0.37093933830417	0.119345093797785	0.454125899944619	0.532369627729852	0.3757457038554
"f__Aurantimonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Bacillaceae 1"	0	0	0	0	0	0	0	0	0	0	0	0	0.0381410632554864	0.104183109707972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334526477770716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308223400320552	0.00369890882189754	0.00675995403231258	0	0	0	0	0	0	0.00369208048735462	0	0
"f__Bacteroidaceae"	0.952410789811711	0.230815050134021	0.525391733660714	0.251407884151247	0.325658644608721	0.520204366000929	2.5133012414492	1.37642363477076	0.295975154761657	1.07058082643027	1.39427968496816	0.994049702485124	0.803896256307945	0.925019731649566	0.836976042831487	0.597014925373135	1.41902619740672	0.577902572809194	8.408352088022	1.08750829786403	0.666132789749563	0.214026709118245	0.698080279232112	0.599623964632349	0.826488185782375	0.958713820508733	0.339192763887704	0.69132715874008	2.36001335856619	1.06779305278623	0.78364738403794	0.835103202259933	1.00275758335422	0.749339310206403	0.876342223761691	5.03305162747887	0.37830599263475	0.52461139896373	1.73355331954547	3.23382532460326	1.76258024833737	0.798897254994961	0.511140707677909	0.836695689105968	1.34635008148159	0.848620356725443	1.02599860543879	0.575603276510959	0.874881188974337	0.440843266673234	1.35001849340402	0.417976696874422	1.23031163388089	1.39457289575893	14.1291871021601	0.545743203016472	1.56104318175764	1.44628873318596	0.458732704285235	0.402436773121654	1.02588015854512	0.562728163119936
"f__Bdellovibrionaceae"	0.595256743632319	0.134021642013303	0.047522870381371	0.251407884151247	0.0553619695834826	0.12606993563798	0.461109703572333	0.169376034264577	0.152156241532401	0.221221075748034	0.331612465614048	0.672033601680084	0.234714235418378	0.489344909234412	0.0474399376503677	0.176227297248696	1.05186557290288	0.205694136084628	0.154205217971159	0.486157210355734	0.131042516016308	0.0831343415583267	0.803346353084573	0.0558971492453885	0.291552580874151	0.0979208890305832	0.40532468640669	0.475405799571945	0.105755315596126	0.514219750236121	0.0887626486774365	0.125780976142854	0.16180861004125	0.448265480212759	0.270176653966055	0.330516274788721	0.468697689989956	0.346502590673575	0.820300699463203	0.277438686050383	0.126859647099527	0.478745479338353	0.489543212987293	0.152898704608197	0.528488097595151	0.292189643782713	0.364578145233589	0.7144725984664	0.252743454592586	0.241355531474732	0.151029466157071	0.0776770852598483	0.162238896775502	0.208534264786383	0.0756548053845351	0.0727657604021962	0.372945470044487	0.206077410168983	0.082049751985977	0.14399113900683	0.264241859019196	0.550262665835634
"f__Bifidobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266389621460348	0	0	0	0	0
"f__Bradyrhizobiaceae"	0	0	0.00132007973281586	0	0	0.001327051954084	0	0	0.00625299622735894	0.0064590095108915	0.00565248520933037	0.00700035001750087	0	0.00315706393054459	0	0	0.258004763164859	0.00326498628705759	0	0.00390487719161232	0.0509609784507862	0.00353763155567348	0	0	0.0076057195010648	0	0	0	0.00556606924190136	0	0	0	0	0	0	0	0	0	0.0836567285571538	0.0288536233492399	0	0	0	0	0.0030460409083294	0.00508155902230804	0	0	0	0	0	0	0	0.023460104788468	0.0130439319628509	0	0	0	0.00372953418118077	0	0.209839123338774	0.00534235597898673
