""	"67.AV770T"	"35.AV590"	"25.AV608"	"18.AV863"	"06.AV996"	"91.AV609"	"19.AV864"	"79.AV567"	"82.AV579"	"55.AV717T"	"40.AV521"	"10.AV587"	"12.AV596"	"01.AV967"	"34.AV589"	"03.AV971"	"49.AV555T"	"84.AV803"	"52.AV612TA"	"68.AV791T"	"94.AV802"	"24.AV580"	"69.AV782.2T"	"93.AV611"	"44.AV543"	"36.AV591"	"75.AV794TA"	"80.AV568"	"66.AV604T"	"04.AV972"	"02.AV968"	"45.AV571"	"92.AV610"	"08.AV583"	"76.AV833T"	"56.AV718T"	"17.AV817"	"11.AV588"	"50.AV555TA"	"53.AV650T"	"71.AV604TA"	"81.AV570"	"70.AV794T"	"86.AV866"	"54.AV650TA"	"42.AV541"	"73.AV791TA"	"74.AV782.2TA"	"43.AV542"	"83.AV814"	"13.AV597"	"05.AV974"	"09.AV584"	"41.AV527"	"51.AV612T"	"32.AV572"	"85.AV865"	"33.AV586"	"37.AV598"	"16.AV816"	"48.AV551T"	"72.AV770TA"
"g__Acidaminococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Acinetobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136670701706431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278855761857179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187343100153621	0	0	0	0
"g__Actinomyces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0220994475138122	0	0	0	0	0	0	0	0	0	0	0.00253523983368827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Aeromonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Akkermansia"	0	0	0	0.00335210512201663	0	0	0	0	0	0	0	0	0.00586785588545945	0.00315706393054459	0	0.00359647545405503	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262357015426593	0	0	0	0.224132740106379	0	0	0.0133913625711416	0.00323834196891192	0	0	0	0	0	0.0594606073476322	0	0	0	0	0	0	0	0.0147956352875902	0	0	0	0	0.0239750659314313	0.0187343100153621	0	0.00369208048735462	0	0
"g__Alistipes"	5.5954133901438	4.3383301896158	1.97087904109408	4.19013140252078	2.4196437294428	1.77426846261031	5.18368381048898	2.92611700574321	1.77376659649415	1.16262171196047	3.2124957606361	3.79068953447672	1.87771388334703	7.81057616416732	4.10694317373182	1.53209854342744	2.62966393225722	2.72626354969309	2.02759023089106	6.32590105041197	4.27344205008736	2.85309984965066	6.30765395163301	2.8126429188475	2.9611601257479	3.49554801539407	4.9812270671559	3.23313824649128	4.18846710453078	4.00881519571834	5.10004818543785	1.96094603789925	3.69425009685727	1.58565550463319	3.78940076203672	3.7528240314618	6.33746233679278	2.19235751295336	4.50352055399345	3.1206303406947	4.65344250951447	7.21379024129957	4.49587847809655	4.61244425568061	3.09934662422516	4.91132679506072	5.59816714812232	6.90522671926258	1.84481119847922	3.47748990247266	3.47367772161262	3.69520991307564	4.26215101737308	2.9325130985585	1.92267557132422	2.49388106105709	3.71347132315726	3.03121136048559	4.01670831313169	4.79970463356101	2.74345224216989	6.40548481880509
"g__Alkalibacterium"	0	0	0	0.00670421024403325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443901897680613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194295484572939	0
"g__Allobaculum"	0	0.00248188225950561	0.00264015946563172	0.00335210512201663	0	0.001327051954084	0	0.0369901684026088	0	0.064590095108915	0.325959980404718	0	0.00293392794272973	0.00315706393054459	0	0.00359647545405503	0.0463085472347182	0	1.61290322580645	0.00195243859580616	0.029120559114735	0.0159193420005306	0	0.0127038975557701	0.461413649731265	0	0.00213328782319311	0	0.28665256595792	0.00524714030853185	0	0.195888405468379	0.00227899450762324	0.153882179774529	0.0277104260478005	2.69015145176136	0	0.0323834196891192	0	0.346243480190878	0.276784684580787	0	0	0.0169887449564663	0.219314945399717	0.0254077951115402	0.00796892120729156	0	0.0172816037328264	0	0.0493157440512884	0.0110967264656926	0	0.0182467481688085	3.94709381195868	0.115763709730767	0.00532779242920696	0.052456068043014	0	0.00738416097470925	0.878215590269682	0.00712314130531564
"g__Alloprevotella"	0.632851906388045	0.81405738111784	0.0422425514501076	0	0.00651317289217442	0.383518014730277	0.00506713959969597	1.79694344397936	0.266794505700648	1.00114647418818	0.815842031880017	0.994049702485124	2.77842976176505	0	1.23004981193453	0.0899118863513756	1.14448266737232	1.71085281441818	3.3070767691923	0.751688859385372	2.03479906814211	0.136198814893429	4.16355023684867	0.238833274048478	0.375215495385864	0.630792703755152	0.140796996330745	0.498134363694907	1.12712902148503	1.50068212824011	0.0583297405594583	0.274243767655731	0.483146835616126	0	1.88084516799446	1.10032633252447	0	1.21113989637306	1.70566774335975	2.30828986793919	1.21477722677123	0.216398885397522	0.179979122421799	0.220853684434062	1.23212354741924	2.52299405457594	0.647474848092439	2.86594078934128	0.0993692214637518	0.302925820116245	2.72469485883368	0.122063991122619	0.706415196376665	0.901910695201105	4.08014191797976	0.115763709730767	0.964330429686459	2.1057364457267	0.477380375191139	0.0184604024367731	1.28623610787285	0.584097587035883
"g__Anaeroplasma"	0.479338325135499	0.50878586319865	0.00264015946563172	0.375435773665862	0.367994268407855	0.0716608055205361	2.33088421586015	0.120704760050618	0.208433207578631	0.00807376188861438	0.619889211289897	0.661533076653833	0.378476704612135	0.883977900552486	0.311748161702416	0.618593778097465	0.0496163006086266	0.551782682512733	0.0729349003917646	1.00355343824437	0.447728596389051	0.298929866454409	0.512479570071193	0.243914833070786	0.534935604908224	0.252772527497552	0.366925505589214	1.21219008655795	0.0946231771123233	1.36163291006402	0.654307524536532	0.472194156339567	0.0888807857973062	0.0167263238885358	0.0727398683754763	0.0962262572169693	1.08135252761969	0.272020725388601	0.118513698789301	0.608145599822439	0.0403644331680314	2.38335210766586	0.601130268888809	1.85602038649395	1.01890068383618	0.581838508054271	1.02201414483514	0.509187513836617	0.740948760044932	1.5909762584967	0.181851806189126	0.573330867394119	0.844994254039073	0.205927586476553	0.122612960450798	0.601971290599987	3.11409467487147	0.37093933830417	0.119345093797785	0.454125899944619	0.532369627729852	0.3757457038554
